Data,Horário,Tensao_Fase_C,Tensao_De_Linha_CA,Corrente_Fase_C,Potencia_Ativa_Fase_C,fator_De_Potencia_Fase_C,Potencia_Reativa_Fase_C,Potencia_Aparente_Fase_C,Frequencia_Fase_C,Intervalos em Hora,C (Wh),C (kWh)
01/08/2025,00:00:00,"223,38","386,91","81,94","15802,00","0,86","9235,52","18302,95","59,99","0,05","790,10","0,79"
01/08/2025,00:03:00,"222,59","385,53","86,31","16317,29","0,85","10141,96","19212,32","60,11","0,05","1605,96","1,61"
01/08/2025,00:06:00,"223,38","386,91","79,33","15138,18","0,85","9212,22","17720,87","59,90","0,05","2362,87","2,36"
01/08/2025,00:09:00,"221,79","384,14","88,79","17235,03","0,88","9525,93","19692,38","60,03","0,05","3224,63","3,22"
01/08/2025,00:12:00,"224,62","389,05","85,08","15942,86","0,83","10536,23","19109,87","59,96","0,05","4021,77","4,02"
01/08/2025,00:15:00,"221,10","382,96","87,93","15977,78","0,82","11077,01","19441,96","59,90","0,05","4820,66","4,82"
01/08/2025,00:18:00,"222,31","385,05","95,68","17914,06","0,84","11468,34","21270,55","59,91","0,05","5716,36","5,72"
01/08/2025,00:21:00,"221,08","382,91","88,49","16757,66","0,86","10095,44","19563,67","59,92","0,05","6554,24","6,55"
01/08/2025,00:24:00,"223,45","387,02","86,58","15939,61","0,82","10962,17","19345,29","59,80","0,05","7351,22","7,35"
01/08/2025,00:27:00,"222,58","385,51","82,44","15617,64","0,85","9633,36","18349,72","59,94","0,05","8132,11","8,13"
01/08/2025,00:30:00,"222,47","385,34","95,60","18092,57","0,85","11182,53","21269,47","59,87","0,05","9036,73","9,04"
01/08/2025,00:33:00,"221,65","383,91","87,74","16433,14","0,84","10401,57","19448,41","59,89","0,05","9858,39","9,86"
01/08/2025,00:36:00,"222,21","384,88","96,67","18920,26","0,88","10173,46","21481,98","60,00","0,05","10804,41","10,80"
01/08/2025,00:39:00,"221,98","384,48","90,86","17024,89","0,84","10813,93","20168,98","59,80","0,05","11655,65","11,66"
01/08/2025,00:42:00,"222,40","385,22","82,80","15768,88","0,86","9512,50","18415,90","59,91","0,05","12444,09","12,44"
01/08/2025,00:45:00,"222,90","386,07","94,75","17744,76","0,84","11454,37","21120,58","59,99","0,05","13331,33","13,33"
01/08/2025,00:48:00,"222,01","384,53","95,66","17959,65","0,85","11336,93","21238,53","60,15","0,05","14229,31","14,23"
01/08/2025,00:51:00,"223,08","386,38","83,44","15577,49","0,84","10190,34","18614,55","59,94","0,05","15008,19","15,01"
01/08/2025,00:54:00,"222,57","385,49","87,08","16467,88","0,85","10218,73","19380,75","59,97","0,05","15831,58","15,83"
01/08/2025,00:57:00,"222,26","384,97","87,20","17023,62","0,88","9265,06","19381,56","60,07","0,05","16682,76","16,68"
01/08/2025,01:00:00,"220,20","381,39","86,36","16150,49","0,85","10038,58","19016,08","60,03","0,05","17490,29","17,49"
01/08/2025,01:03:00,"222,03","384,57","96,37","18205,56","0,85","11242,32","21397,01","60,09","0,05","18400,57","18,40"
01/08/2025,01:06:00,"221,05","382,87","83,15","15896,38","0,86","9228,34","18380,89","59,93","0,05","19195,39","19,20"
01/08/2025,01:09:00,"221,58","383,78","85,65","16110,01","0,85","10030,51","18977,45","59,97","0,05","20000,89","20,00"
01/08/2025,01:12:00,"221,83","384,21","90,61","16949,43","0,84","10803,05","20099,48","59,94","0,05","20848,36","20,85"
01/08/2025,01:15:00,"221,83","384,22","84,96","15955,34","0,85","10029,52","18845,80","60,06","0,05","21646,12","21,65"
01/08/2025,01:18:00,"222,86","386,01","87,80","16728,98","0,85","10151,29","19568,02","60,00","0,05","22482,57","22,48"
01/08/2025,01:21:00,"223,61","387,31","77,43","15202,41","0,88","8287,84","17314,78","60,04","0,05","23242,69","23,24"
01/08/2025,01:24:00,"222,90","386,08","85,78","16185,59","0,85","10177,85","19119,68","59,94","0,05","24051,97","24,05"
01/08/2025,01:27:00,"221,82","384,21","80,66","14872,86","0,83","9947,98","17893,14","60,00","0,05","24795,62","24,80"
01/08/2025,01:30:00,"224,23","388,38","84,13","15959,14","0,85","10060,24","18865,38","59,96","0,05","25593,57","25,59"
01/08/2025,01:33:00,"221,42","383,51","84,82","16178,11","0,86","9537,09","18779,97","60,06","0,05","26402,48","26,40"
01/08/2025,01:36:00,"222,47","385,34","96,69","18142,43","0,84","11558,89","21511,76","60,09","0,05","27309,60","27,31"
01/08/2025,01:39:00,"223,20","386,59","90,24","17113,46","0,85","10620,86","20141,33","59,97","0,05","28165,27","28,17"
01/08/2025,01:42:00,"223,14","386,49","98,14","18368,28","0,84","11922,66","21898,48","60,12","0,05","29083,69","29,08"
01/08/2025,01:45:00,"221,05","382,87","89,93","17058,66","0,86","10207,11","19879,21","59,94","0,05","29936,62","29,94"
01/08/2025,01:48:00,"223,09","386,41","86,35","16083,92","0,83","10603,86","19264,85","59,91","0,05","30740,82","30,74"
01/08/2025,01:51:00,"223,10","386,41","94,27","17816,81","0,85","11174,30","21031,02","59,85","0,05","31631,66","31,63"
01/08/2025,01:54:00,"220,60","382,09","81,35","15175,36","0,85","9581,02","17946,80","60,08","0,05","32390,42","32,39"
01/08/2025,01:57:00,"222,57","385,51","85,74","16371,77","0,86","9804,96","19083,29","59,87","0,05","33209,01","33,21"
01/08/2025,02:00:00,"221,63","383,87","79,82","14928,10","0,84","9493,69","17691,19","59,84","0,05","33955,42","33,96"
01/08/2025,02:03:00,"220,89","382,59","77,70","15115,27","0,88","8131,48","17163,69","60,05","0,05","34711,18","34,71"
01/08/2025,02:06:00,"221,95","384,43","80,44","15697,77","0,88","8505,37","17853,89","60,05","0,05","35496,07","35,50"
