Data,Horário,Tensao_Fase_B,Tensao_De_Linha_BC,Corrente_Fase_B,Potencia_Ativa_Fase_B,fator_De_Potencia_Fase_B,Potencia_Reativa_Fase_B,Potencia_Aparente_Fase_B,Frequencia_Fase_B,Intervalos em Hora,C (Wh),C (kWh)
23/05/2025,00:00:00,"222,99","386,22","92,68","17420,09","0,84","11120,23","20666,86","60,14","0,05","871,00","0,87"
23/05/2025,00:03:00,"223,33","386,82","85,04","16236,00","0,85","9854,76","18992,73","60,10","0,05","1682,80","1,68"
23/05/2025,00:06:00,"220,49","381,90","97,64","18108,70","0,84","11644,40","21529,45","60,02","0,05","2588,24","2,59"
23/05/2025,00:09:00,"222,06","384,62","76,53","14748,46","0,87","8443,68","16994,49","60,08","0,05","3325,66","3,33"
23/05/2025,00:12:00,"223,47","387,05","82,59","15379,59","0,83","10204,18","18456,90","60,17","0,05","4094,64","4,09"
23/05/2025,00:15:00,"222,23","384,91","88,88","16490,11","0,83","10873,22","19752,23","60,14","0,05","4919,15","4,92"
23/05/2025,00:18:00,"222,31","385,05","97,48","17783,19","0,82","12383,92","21670,33","60,03","0,05","5808,31","5,81"
23/05/2025,00:21:00,"221,05","382,86","98,24","18130,27","0,83","11953,88","21716,40","59,93","0,05","6714,82","6,71"
23/05/2025,00:24:00,"221,97","384,46","93,88","17638,21","0,85","11095,40","20837,81","60,04","0,05","7596,73","7,60"
23/05/2025,00:27:00,"222,60","385,56","91,89","17369,09","0,85","10801,69","20453,89","59,78","0,05","8465,19","8,47"
23/05/2025,00:30:00,"223,30","386,76","88,74","16694,53","0,84","10673,93","19815,15","60,02","0,05","9299,91","9,30"
23/05/2025,00:33:00,"221,64","383,89","95,68","17919,40","0,85","11338,80","21205,50","59,98","0,05","10195,88","10,20"
23/05/2025,00:36:00,"221,17","383,08","94,36","17811,98","0,85","10876,11","20869,99","59,81","0,05","11086,48","11,09"
23/05/2025,00:39:00,"221,92","384,37","87,58","16009,61","0,82","11020,37","19435,95","60,04","0,05","11886,96","11,89"
23/05/2025,00:42:00,"222,34","385,11","86,86","15857,01","0,82","11022,56","19311,70","59,99","0,05","12679,81","12,68"
23/05/2025,00:45:00,"223,19","386,58","91,10","17302,29","0,85","10681,67","20333,89","59,93","0,05","13544,93","13,54"
23/05/2025,00:48:00,"221,06","382,89","93,25","18030,28","0,87","9994,22","20614,93","59,93","0,05","14446,44","14,45"
