Data,Horário,Tensao_Fase_A,Tensao_De_Linha_AB,Corrente_Fase_A,Potencia_Ativa_Fase_A,fator_De_Potencia_Fase_A,Potencia_Reativa_Fase_A,Potencia_Aparente_Fase_A,Frequencia_Fase_A,Intervalos em Hora,C (Wh),C (kWh)
23/05/2025,00:00:00,"222,68","385,70","89,25","16889,73","0,85","10476,10","19874,90","60,04","0,05","844,49","0,84"
23/05/2025,00:03:00,"222,35","385,11","87,00","16051,38","0,83","10794,10","19343,20","60,12","0,05","1647,06","1,65"
23/05/2025,00:06:00,"221,69","383,98","85,02","16568,05","0,88","8987,39","18848,70","60,02","0,05","2475,46","2,48"
23/05/2025,00:09:00,"221,32","383,34","77,61","14465,37","0,84","9261,15","17176,03","60,03","0,05","3198,73","3,20"
23/05/2025,00:12:00,"221,82","384,21","88,27","16782,73","0,86","10087,22","19580,92","60,14","0,05","4037,86","4,04"
23/05/2025,00:15:00,"222,65","385,64","89,86","16919,29","0,85","10680,05","20008,14","60,02","0,05","4883,83","4,88"
23/05/2025,00:18:00,"221,96","384,44","88,15","16723,36","0,85","10153,70","19564,47","60,15","0,05","5720,00","5,72"
23/05/2025,00:21:00,"221,93","384,40","94,30","17763,77","0,85","11065,32","20928,28","59,89","0,05","6608,18","6,61"
23/05/2025,00:24:00,"220,35","381,65","90,72","17227,88","0,86","10136,71","19988,82","59,92","0,05","7469,58","7,47"
23/05/2025,00:27:00,"222,27","384,99","88,92","16975,72","0,86","10123,46","19765,11","59,90","0,05","8318,36","8,32"
23/05/2025,00:30:00,"221,81","384,19","90,83","17290,50","0,86","10341,45","20147,13","59,94","0,05","9182,89","9,18"
23/05/2025,00:33:00,"223,15","386,51","86,24","15854,58","0,82","10905,79","19243,28","60,15","0,05","9975,62","9,98"
23/05/2025,00:36:00,"224,24","388,39","83,39","15889,97","0,85","9855,37","18698,11","60,06","0,05","10770,12","10,77"
23/05/2025,00:39:00,"221,34","383,37","88,04","16718,59","0,86","10012,65","19487,55","60,09","0,05","11606,05","11,61"
23/05/2025,00:42:00,"221,16","383,06","97,13","17569,86","0,82","12359,87","21481,77","60,00","0,05","12484,54","12,48"
23/05/2025,00:45:00,"222,90","386,07","77,96","14769,16","0,85","9157,11","17377,59","60,08","0,05","13223,00","13,22"
23/05/2025,00:48:00,"222,23","384,91","85,74","16054,12","0,84","10263,73","19054,63","59,98","0,05","14025,70","14,03"
23/05/2025,00:51:00,"222,04","384,59","78,29","14751,73","0,85","9197,12","17383,92","59,89","0,05","14763,29","14,76"
23/05/2025,00:54:00,"223,62","387,32","90,52","17498,43","0,86","10173,46","20240,91","60,11","0,05","15638,21","15,64"
23/05/2025,00:57:00,"223,17","386,55","83,80","15906,20","0,85","9837,93","18702,73","59,85","0,05","16433,52","16,43"
23/05/2025,01:00:00,"222,73","385,79","77,84","15330,09","0,88","8099,61","17338,27","60,13","0,05","17200,03","17,20"
23/05/2025,01:03:00,"221,23","383,18","95,62","17456,29","0,83","11948,73","21154,06","60,02","0,05","18072,84","18,07"
23/05/2025,01:06:00,"222,40","385,20","90,62","17282,16","0,86","10368,67","20153,97","60,02","0,05","18936,95","18,94"
23/05/2025,01:09:00,"221,88","384,30","89,01","17253,15","0,87","9609,79","19748,90","60,12","0,05","19799,61","19,80"
23/05/2025,01:12:00,"220,79","382,43","79,54","15014,57","0,85","9107,75","17560,99","59,94","0,05","20550,33","20,55"
