Data,Horário,Tensao_Fase_B,Tensao_De_Linha_BC,Corrente_Fase_B,Potencia_Ativa_Fase_B,fator_De_Potencia_Fase_B,Potencia_Reativa_Fase_B,Potencia_Aparente_Fase_B,Frequencia_Fase_B,Intervalos em Hora,C (Wh),C (kWh)
01/08/2025,00:00:00,"223,27","386,71","88,48","16720,52","0,85","10521,71","19755,56","60,04","0,05","836,03","0,84"
01/08/2025,00:03:00,"223,23","386,65","83,53","16462,86","0,88","8757,85","18647,40","60,01","0,05","1659,17","1,66"
01/08/2025,00:06:00,"223,69","387,45","88,67","17061,37","0,86","10115,78","19834,80","60,11","0,05","2512,24","2,51"
01/08/2025,00:09:00,"221,46","383,57","83,46","15654,98","0,85","9826,43","18483,43","60,04","0,05","3294,99","3,29"
01/08/2025,00:12:00,"222,62","385,60","98,04","18270,15","0,84","11940,19","21825,83","60,14","0,05","4208,49","4,21"
01/08/2025,00:15:00,"220,63","382,14","81,23","15628,86","0,87","8771,84","17922,23","60,03","0,05","4989,94","4,99"
01/08/2025,00:18:00,"223,72","387,50","80,31","15762,13","0,88","8623,12","17966,72","60,08","0,05","5778,04","5,78"
01/08/2025,00:21:00,"220,82","382,47","97,19","18581,39","0,87","10737,65","21460,78","59,95","0,05","6707,11","6,71"
01/08/2025,00:24:00,"222,85","385,98","91,73","17286,35","0,85","10910,50","20441,55","60,18","0,05","7571,43","7,57"
01/08/2025,00:27:00,"221,43","383,53","80,77","15320,28","0,86","9226,32","17883,96","60,11","0,05","8337,44","8,34"
01/08/2025,00:30:00,"222,68","385,69","89,57","16875,67","0,85","10632,16","19945,70","60,09","0,05","9181,23","9,18"
01/08/2025,00:33:00,"224,12","388,19","89,08","17317,82","0,87","9935,45","19965,47","60,14","0,05","10047,12","10,05"
01/08/2025,00:36:00,"222,63","385,61","79,70","15612,33","0,88","8432,51","17744,07","59,92","0,05","10827,73","10,83"
01/08/2025,00:39:00,"222,03","384,57","86,17","16036,39","0,84","10432,99","19131,47","59,91","0,05","11629,55","11,63"
01/08/2025,00:42:00,"222,96","386,19","85,75","16751,77","0,88","9217,60","19120,30","59,97","0,05","12467,14","12,47"
01/08/2025,00:45:00,"222,80","385,90","95,08","18486,00","0,87","10345,95","21184,21","59,82","0,05","13391,44","13,39"
01/08/2025,00:48:00,"220,74","382,33","88,76","16821,82","0,86","10047,09","19593,82","60,09","0,05","14232,53","14,23"
01/08/2025,00:51:00,"223,79","387,62","87,55","17232,46","0,88","9325,92","19594,15","60,03","0,05","15094,16","15,09"
01/08/2025,00:54:00,"223,58","387,25","79,49","15257,81","0,86","9114,42","17772,83","60,01","0,05","15857,05","15,86"
01/08/2025,00:57:00,"221,83","384,22","95,87","18216,80","0,86","10974,53","21267,16","60,02","0,05","16767,89","16,77"
01/08/2025,01:00:00,"222,48","385,35","86,77","16668,56","0,86","9740,43","19305,88","60,01","0,05","17601,32","17,60"
01/08/2025,01:03:00,"222,10","384,69","86,97","16231,47","0,84","10470,52","19315,60","60,08","0,05","18412,89","18,41"
01/08/2025,01:06:00,"222,14","384,75","82,20","15409,20","0,84","9795,65","18259,19","60,10","0,05","19183,35","19,18"
01/08/2025,01:09:00,"222,55","385,47","77,15","14837,17","0,86","8642,69","17170,84","59,89","0,05","19925,21","19,93"
01/08/2025,01:12:00,"223,30","386,77","94,82","17942,95","0,85","11240,86","21173,25","59,98","0,05","20822,36","20,82"
01/08/2025,01:15:00,"223,37","386,88","90,07","17477,46","0,87","9964,34","20118,39","60,09","0,05","21696,23","21,70"
01/08/2025,01:18:00,"220,92","382,64","79,25","15226,86","0,87","8639,03","17506,86","60,13","0,05","22457,57","22,46"
01/08/2025,01:21:00,"222,62","385,59","81,51","15890,14","0,88","8762,30","18145,92","59,88","0,05","23252,08","23,25"
01/08/2025,01:24:00,"223,68","387,43","90,83","17236,60","0,85","10755,57","20317,05","60,09","0,05","24113,91","24,11"
01/08/2025,01:27:00,"224,41","388,69","87,18","16686,90","0,85","10210,57","19562,93","60,06","0,05","24948,25","24,95"
01/08/2025,01:30:00,"221,68","383,96","93,70","17398,54","0,84","11346,84","20771,61","59,94","0,05","25818,18","25,82"
01/08/2025,01:33:00,"222,16","384,79","87,06","16928,26","0,88","9352,49","19339,98","60,16","0,05","26664,59","26,66"
01/08/2025,01:36:00,"221,43","383,53","94,91","17918,08","0,85","10984,02","21016,81","59,85","0,05","27560,50","27,56"
01/08/2025,01:39:00,"220,43","381,80","83,86","16256,50","0,88","8798,24","18484,66","60,03","0,05","28373,32","28,37"
01/08/2025,01:42:00,"223,41","386,96","82,69","15392,47","0,83","10215,13","18473,68","59,99","0,05","29142,95","29,14"
01/08/2025,01:45:00,"223,81","387,66","85,19","16237,23","0,85","9996,20","19067,56","60,05","0,05","29954,81","29,95"
01/08/2025,01:48:00,"221,54","383,71","84,11","16077,44","0,86","9421,04","18634,38","59,91","0,05","30758,68","30,76"
01/08/2025,01:51:00,"223,49","387,09","87,98","17064,10","0,87","9770,65","19663,39","60,05","0,05","31611,88","31,61"
01/08/2025,01:54:00,"222,67","385,68","91,22","17113,38","0,84","10943,02","20312,99","59,95","0,05","32467,55","32,47"
01/08/2025,01:57:00,"222,54","385,45","91,81","16947,70","0,83","11411,69","20431,63","59,98","0,05","33314,94","33,31"
01/08/2025,02:00:00,"222,82","385,93","78,71","14636,57","0,83","9661,95","17538,03","60,08","0,05","34046,77","34,05"
01/08/2025,02:03:00,"223,03","386,29","96,54","17678,54","0,82","12289,17","21530,32","60,13","0,05","34930,69","34,93"
01/08/2025,02:06:00,"224,84","389,43","85,15","16586,28","0,87","9562,88","19145,58","59,96","0,05","35760,01","35,76"
01/08/2025,02:09:00,"221,80","384,17","84,36","15530,66","0,83","10435,17","18710,80","60,04","0,05","36536,54","36,54"
01/08/2025,02:12:00,"221,66","383,93","81,35","15394,06","0,85","9390,80","18032,31","59,87","0,05","37306,24","37,31"
01/08/2025,02:15:00,"221,40","383,47","83,89","15824,14","0,85","9722,23","18572,16","59,91","0,05","38097,45","38,10"
01/08/2025,02:18:00,"223,35","386,85","87,93","17354,75","0,88","9194,60","19639,96","59,98","0,05","38965,19","38,97"
